###,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
###,0,1893,495,2121,1065,1271,859,205,100,1750,683,582,392,744,485,911,1532,797,1325,826,636,242,647,1624,579,1992,1393,967,1417,1160,512,1071,671,832,2191,900,1343,312,882,282,999,1458,1313,668,2351,682,671,1023
AL,1893,0,1398,755,831,2673,2418,2098,1993,990,1669,1694,1504,1354,1839,1603,2934,2397,2727,1938,1748,1651,1477,1428,1317,713,2795,2421,476,2562,2272,1601,1869,1061,1290,2294,2745,2205,1386,1742,1173,652,2715,2331,1450,2029,1783,931
AZ,495,1398,0,2114,963,1477,1132,700,595,1761,532,593,403,544,547,416,1738,1070,1531,837,647,253,340,1635,590,1985,1599,1225,922,1366,874,1082,733,337,2202,1098,1549,807,893,344,504,1451,1519,941,2362,744,682,1034
AR,2121,755,2114,0,1151,2898,2643,2326,2221,670,2020,1919,1729,1687,2064,2358,3159,2622,2952,2163,1957,1879,1885,1108,1542,129,3020,2646,1231,2787,2633,1732,2094,1777,535,2519,2970,2433,1553,2267,1928,663,2940,2556,695,2254,2008,1098
CA,1065,831,963,1151,0,1842,1587,1270,1165,826,932,863,673,536,1008,1379,2103,1566,1896,1107,917,823,740,775,486,1022,1964,1590,355,1731,1577,770,1038,626,1267,1463,1914,1377,555,1193,1014,488,1884,1500,1427,1198,952,100
CO,1271,2673,1477,2898,1842,0,412,1423,1171,2527,1169,979,1169,1521,930,1893,308,474,101,1041,1413,1319,1361,2401,1356,2769,169,304,2197,111,759,1848,804,1777,2968,379,72,959,1659,1133,1981,2235,264,603,3128,733,1418,1800
CT,859,2418,1132,2643,1587,412,0,1011,759,2272,914,724,914,1266,656,1548,673,62,466,786,1158,1064,1106,2146,1101,2514,534,108,1942,301,347,1593,549,1469,2713,124,484,547,1404,788,1636,1980,454,191,2873,459,1163,1545
DE,205,2098,700,2326,1270,1423,1011,0,252,1955,888,787,597,949,690,1116,1684,949,1477,1031,841,447,852,1829,784,2197,1545,1119,1622,1312,664,1276,876,1037,2396,1052,1495,464,1087,487,1204,1663,1465,820,2556,887,876,1228
FL,100,1993,595,2221,1165,1171,759,252,0,1850,783,603,492,844,458,1011,1432,697,1225,847,736,342,708,1724,679,2092,1293,867,1517,1060,412,1171,644,932,2291,800,1243,212,982,255,1099,1558,1213,568,2451,655,771,1123
GA,1750,990,1761,670,826,2527,2272,1955,1850,0,1649,1548,1358,1336,1693,2177,2788,2251,2581,1792,1497,1508,1514,438,1171,541,2649,2275,1181,2416,2262,1062,1723,1452,441,2148,2599,2062,1180,1896,1840,338,2569,2185,601,1883,1637,727
ID,683,1669,532,2020,932,1169,914,888,783,1649,0,190,291,396,335,948,1430,893,1223,434,507,441,192,1523,478,1891,1291,917,1193,1058,983,942,365,608,2090,790,1241,995,781,538,996,1357,1211,827,2250,525,249,922
IL,582,1694,593,1919,863,979,724,787,603,1548,190,0,190,542,145,1009,1240,703,1033,244,434,340,382,1422,377,1790,1101,727,1218,868,793,869,175,798,1989,600,1051,815,680,348,1097,1256,1021,637,2149,335,439,821
IN,392,1504,403,1729,673,1169,914,597,492,1358,291,190,0,352,335,819,1430,893,1223,434,244,150,255,1232,187,1600,1291,917,1028,1058,904,679,365,645,1799,790,1241,704,490,538,907,1066,1211,827,1959,525,279,631
IA,744,1354,544,1687,536,1521,1266,949,844,1336,396,542,352,0,687,960,1782,1245,1575,786,596,502,204,1284,165,1558,1643,1269,878,1410,1187,772,717,293,1777,1142,1593,1056,557,657,681,1024,1563,1179,1937,877,631,609
KS,485,1839,547,2064,1008,930,656,690,458,1693,335,145,335,687,0,963,1191,594,984,389,579,485,527,1567,522,1935,1052,678,1363,819,655,1014,186,884,2134,551,1002,670,825,203,1051,1401,972,499,2294,197,584,966
KY,911,1603,416,2358,1379,1893,1548,1116,1011,2177,948,1009,819,960,963,0,2154,1486,1947,1253,1063,669,756,2051,1006,2316,2015,1641,1127,1782,1290,1498,1149,753,2618,1514,1965,1223,1309,760,430,1867,1935,1357,2778,1160,1098,1450
LA,1532,2934,1738,3159,2103,308,673,1684,1432,2788,1430,1240,1430,1782,1191,2154,0,735,207,1302,1674,1580,1622,2662,1617,3030,139,565,2458,372,1020,2109,1065,2038,3229,640,252,1220,1920,1394,2242,2496,245,864,3389,994,1679,2061
ME,797,2397,1070,2622,1566,474,62,949,697,2251,893,703,893,1245,594,1486,735,0,528,765,1137,1039,1085,2125,1080,2493,596,170,1921,363,285,1572,528,1407,2692,103,546,485,1383,726,1574,1959,516,129,2852,397,1142,1524
MD,1325,2727,1531,2952,1896,101,466,1477,1225,2581,1223,1033,1223,1575,984,1947,207,528,0,1095,1467,1373,1415,2455,1410,2823,68,358,2251,165,813,1902,858,1831,3022,433,45,1013,1713,1187,2035,2289,174,657,3182,787,1472,1854
MA,826,1938,837,2163,1107,1041,786,1031,847,1792,434,244,434,786,389,1253,1302,765,1095,0,678,584,626,1666,621,2034,1163,789,1462,930,855,1113,237,1042,2233,662,1113,1055,924,592,1341,1500,1083,699,2393,397,614,1065
MI,636,1748,647,1957,917,1413,1158,841,736,1497,507,434,244,596,579,1063,1674,1137,1467,678,0,394,499,1059,431,1828,1535,1161,1272,1302,1148,435,609,889,1938,1034,1485,948,404,782,1151,1294,1455,1071,2098,769,258,859
MN,242,1651,253,1879,823,1319,1064,447,342,1508,441,340,150,502,485,669,1580,1039,1373,584,394,0,405,1382,337,1750,1441,1067,1175,1208,754,829,515,590,1949,940,1391,554,640,392,757,1216,1361,910,2109,675,429,781
